implementation,metric,line_count,workers,worker,iteration,latency_ns
gpioctl_zsh,event-delivery,1,1,0,49,11220
gpioctl_zsh,event-roundtrip,1,1,0,50,19400
gpioctl_zsh,event-delivery,1,1,0,50,6860
gpioctl_zsh,event-roundtrip,1,1,0,51,18340
gpioctl_zsh,event-delivery,1,1,0,51,6780
gpioctl_zsh,event-roundtrip,1,1,0,52,18200
gpioctl_zsh,event-delivery,1,1,0,52,6540
gpioctl_zsh,event-roundtrip,1,1,0,53,18200
gpioctl_zsh,event-delivery,1,1,0,53,6560
gpioctl_zsh,event-roundtrip,1,1,0,54,18500
gpioctl_zsh,event-delivery,1,1,0,54,6560
gpioctl_zsh,event-roundtrip,1,1,0,55,18680
gpioctl_zsh,event-delivery,1,1,0,55,6660
gpioctl_zsh,event-roundtrip,1,1,0,56,18420
gpioctl_zsh,event-delivery,1,1,0,56,6560
gpioctl_zsh,event-roundtrip,1,1,0,57,18500
gpioctl_zsh,event-delivery,1,1,0,57,6600
gpioctl_zsh,event-roundtrip,1,1,0,58,18360
gpioctl_zsh,event-delivery,1,1,0,58,6680
gpioctl_zsh,event-roundtrip,1,1,0,59,18160
gpioctl_zsh,event-delivery,1,1,0,59,6380
gpioctl_zsh,event-roundtrip,1,1,0,60,18500
gpioctl_zsh,event-delivery,1,1,0,60,6540
gpioctl_zsh,event-roundtrip,1,1,0,61,18300
gpioctl_zsh,event-delivery,1,1,0,61,6620
gpioctl_zsh,event-roundtrip,1,1,0,62,18100
gpioctl_zsh,event-delivery,1,1,0,62,6280
gpioctl_zsh,event-roundtrip,1,1,0,63,18240
gpioctl_zsh,event-delivery,1,1,0,63,6600
gpioctl_zsh,event-roundtrip,1,1,0,64,18340
gpioctl_zsh,event-delivery,1,1,0,64,6440
gpioctl_zsh,event-roundtrip,1,1,0,65,18400
gpioctl_zsh,event-delivery,1,1,0,65,6640
gpioctl_zsh,event-roundtrip,1,1,0,66,18320
gpioctl_zsh,event-delivery,1,1,0,66,6460
gpioctl_zsh,event-roundtrip,1,1,0,67,18300
gpioctl_zsh,event-delivery,1,1,0,67,6380
gpioctl_zsh,event-roundtrip,1,1,0,68,18320
gpioctl_zsh,event-delivery,1,1,0,68,6500
gpioctl_zsh,event-roundtrip,1,1,0,69,18260
gpioctl_zsh,event-delivery,1,1,0,69,6400
gpioctl_zsh,event-roundtrip,1,1,0,70,18220
gpioctl_zsh,event-delivery,1,1,0,70,6580
gpioctl_zsh,event-roundtrip,1,1,0,71,18120
gpioctl_zsh,event-delivery,1,1,0,71,6360
gpioctl_zsh,event-roundtrip,1,1,0,72,18580
gpioctl_zsh,event-delivery,1,1,0,72,6320
gpioctl_zsh,event-roundtrip,1,1,0,73,18100
gpioctl_zsh,event-delivery,1,1,0,73,6680
gpioctl_zsh,event-roundtrip,1,1,0,74,18300
gpioctl_zsh,event-delivery,1,1,0,74,6580
gpioctl_zsh,event-roundtrip,1,1,0,75,18300
gpioctl_zsh,event-delivery,1,1,0,75,6620
gpioctl_zsh,event-roundtrip,1,1,0,76,18240
gpioctl_zsh,event-delivery,1,1,0,76,6720
gpioctl_zsh,event-roundtrip,1,1,0,77,18120
gpioctl_zsh,event-delivery,1,1,0,77,6420
gpioctl_zsh,event-roundtrip,1,1,0,78,18100
gpioctl_zsh,event-delivery,1,1,0,78,6760
gpioctl_zsh,event-roundtrip,1,1,0,79,18180
gpioctl_zsh,event-delivery,1,1,0,79,6560
gpioctl_zsh,event-roundtrip,1,1,0,80,18180
gpioctl_zsh,event-delivery,1,1,0,80,6420
gpioctl_zsh,event-roundtrip,1,1,0,81,18600
gpioctl_zsh,event-delivery,1,1,0,81,6600
gpioctl_zsh,event-roundtrip,1,1,0,82,18240
gpioctl_zsh,event-delivery,1,1,0,82,6579
gpioctl_zsh,event-roundtrip,1,1,0,83,18140
gpioctl_zsh,event-delivery,1,1,0,83,6600
gpioctl_zsh,event-roundtrip,1,1,0,84,18300
gpioctl_zsh,event-delivery,1,1,0,84,6380
gpioctl_zsh,event-roundtrip,1,1,0,85,18320
gpioctl_zsh,event-delivery,1,1,0,85,6460
gpioctl_zsh,event-roundtrip,1,1,0,86,18380
gpioctl_zsh,event-delivery,1,1,0,86,6640
gpioctl_zsh,event-roundtrip,1,1,0,87,18120
gpioctl_zsh,event-delivery,1,1,0,87,6480
gpioctl_zsh,event-roundtrip,1,1,0,88,18200
gpioctl_zsh,event-delivery,1,1,0,88,6600
gpioctl_zsh,event-roundtrip,1,1,0,89,18240
gpioctl_zsh,event-delivery,1,1,0,89,6499
gpioctl_zsh,event-roundtrip,1,1,0,90,18320
gpioctl_zsh,event-delivery,1,1,0,90,6760
gpioctl_zsh,event-roundtrip,1,1,0,91,18200
gpioctl_zsh,event-delivery,1,1,0,91,6500
gpioctl_zsh,event-roundtrip,1,1,0,92,18280
gpioctl_zsh,event-delivery,1,1,0,92,6680
gpioctl_zsh,event-roundtrip,1,1,0,93,18280
gpioctl_zsh,event-delivery,1,1,0,93,6460
gpioctl_zsh,event-roundtrip,1,1,0,94,18500
gpioctl_zsh,event-delivery,1,1,0,94,6660
gpioctl_zsh,event-roundtrip,1,1,0,95,18240
gpioctl_zsh,event-delivery,1,1,0,95,6500
gpioctl_zsh,event-roundtrip,1,1,0,96,18400
gpioctl_zsh,event-delivery,1,1,0,96,6679
gpioctl_zsh,event-roundtrip,1,1,0,97,18140
gpioctl_zsh,event-delivery,1,1,0,97,6260
gpioctl_zsh,event-roundtrip,1,1,0,98,23600
gpioctl_zsh,event-delivery,1,1,0,98,8920
gpioctl_zsh,event-roundtrip,1,1,0,99,18840
gpioctl_zsh,event-delivery,1,1,0,99,6120
gpioctl_zsh,event-roundtrip,1,1,0,100,19040
gpioctl_zsh,event-delivery,1,1,0,100,6660
gpioctl_zsh,event-roundtrip,1,1,0,101,18500
gpioctl_zsh,event-delivery,1,1,0,101,6420
gpioctl_zsh,event-roundtrip,1,1,0,102,18660
gpioctl_zsh,event-delivery,1,1,0,102,6620
gpioctl_zsh,event-roundtrip,1,1,0,103,18380
gpioctl_zsh,event-delivery,1,1,0,103,6420
gpioctl_zsh,event-roundtrip,1,1,0,104,18260
gpioctl_zsh,event-delivery,1,1,0,104,6620
gpioctl_zsh,event-roundtrip,1,1,0,105,18340
gpioctl_zsh,event-delivery,1,1,0,105,6380
gpioctl_zsh,event-roundtrip,1,1,0,106,18500
gpioctl_zsh,event-delivery,1,1,0,106,6520
gpioctl_zsh,event-roundtrip,1,1,0,107,18400
gpioctl_zsh,event-delivery,1,1,0,107,6360
gpioctl_zsh,event-roundtrip,1,1,0,108,18720
gpioctl_zsh,event-delivery,1,1,0,108,6680
gpioctl_zsh,event-roundtrip,1,1,0,109,18440
gpioctl_zsh,event-delivery,1,1,0,109,6500
gpioctl_zsh,event-roundtrip,1,1,0,110,18360
gpioctl_zsh,event-delivery,1,1,0,110,6620
gpioctl_zsh,event-roundtrip,1,1,0,111,18200
gpioctl_zsh,event-delivery,1,1,0,111,6260
gpioctl_zsh,event-roundtrip,1,1,0,112,18600
gpioctl_zsh,event-delivery,1,1,0,112,6600
gpioctl_zsh,event-roundtrip,1,1,0,113,18400
gpioctl_zsh,event-delivery,1,1,0,113,6440
gpioctl_zsh,event-roundtrip,1,1,0,114,18100
gpioctl_zsh,event-delivery,1,1,0,114,6620
gpioctl_zsh,event-roundtrip,1,1,0,115,18320
gpioctl_zsh,event-delivery,1,1,0,115,6380
gpioctl_zsh,event-roundtrip,1,1,0,116,18560
gpioctl_zsh,event-delivery,1,1,0,116,6580
gpioctl_zsh,event-roundtrip,1,1,0,117,18420
gpioctl_zsh,event-delivery,1,1,0,117,6620
gpioctl_zsh,event-roundtrip,1,1,0,118,18420
gpioctl_zsh,event-delivery,1,1,0,118,6300
gpioctl_zsh,event-roundtrip,1,1,0,119,18400
gpioctl_zsh,event-delivery,1,1,0,119,6500
gpioctl_zsh,event-roundtrip,1,1,0,120,18160
gpioctl_zsh,event-delivery,1,1,0,120,6440
gpioctl_zsh,event-roundtrip,1,1,0,121,18380
gpioctl_zsh,event-delivery,1,1,0,121,6580
gpioctl_zsh,event-roundtrip,1,1,0,122,18360
gpioctl_zsh,event-delivery,1,1,0,122,6559
